Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Udupi,Udupi,Coconut,Medium,FAQ,14000,18000,16000,05-Jun-24
2,Udupi,Udupi,Coconut,Medium,FAQ,14000,18000,16000,29-May-24
3,Udupi,Udupi,Coconut,Medium,FAQ,15000,18000,16000,15-May-24
4,Udupi,Udupi,Coconut,Medium,FAQ,15000,18000,16000,08-May-24
5,Udupi,Udupi,Coconut,Medium,FAQ,14000,18000,16000,17-Apr-24
6,Udupi,Udupi,Coconut,Medium,FAQ,14000,18000,16000,27-Mar-24
7,Udupi,Udupi,Coconut,Medium,FAQ,14000,18000,16000,20-Mar-24
8,Udupi,Udupi,Coconut,Medium,FAQ,14000,18000,16000,13-Mar-24
9,Udupi,Udupi,Coconut,Medium,FAQ,14000,18000,16000,06-Mar-24
10,Udupi,Udupi,Coconut,Medium,FAQ,13000,18000,15000,22-Nov-23
11,Udupi,Udupi,Coconut,Medium,FAQ,15000,18000,16000,15-Nov-23
12,Udupi,Udupi,Coconut,Medium,FAQ,13000,16000,15000,02-Nov-23
13,Udupi,Udupi,Coconut,Medium,FAQ,14000,19000,17000,20-Sep-23
14,Udupi,Udupi,Coconut,Medium,FAQ,14000,18000,16000,13-Sep-23
15,Udupi,Udupi,Coconut,Medium,FAQ,14000,18000,16000,30-Aug-23
16,Udupi,Udupi,Coconut,Medium,FAQ,14000,18000,16000,09-Aug-23
17,Udupi,Udupi,Coconut,Medium,FAQ,12000,18000,15000,02-Aug-23
18,Udupi,Udupi,Coconut,Medium,FAQ,13000,17000,15000,26-Jul-23
19,Udupi,Udupi,Coconut,Medium,FAQ,14000,18000,16000,19-Jul-23
20,Udupi,Udupi,Coconut,Medium,FAQ,15000,20000,16000,12-Jul-23
21,Udupi,Udupi,Coconut,Medium,FAQ,15000,20000,16000,05-Jul-23
22,Udupi,Udupi,Coconut,Medium,FAQ,12000,18000,15000,28-Jun-23
23,Udupi,Udupi,Coconut,Medium,FAQ,12000,18000,16000,21-Jun-23
24,Udupi,Udupi,Coconut,Medium,FAQ,12000,16000,14000,15-Jun-23
25,Udupi,Udupi,Coconut,Medium,FAQ,12000,18000,16000,07-Jun-23
26,Udupi,Udupi,Coconut,Medium,FAQ,13000,16000,15000,31-May-23
27,Udupi,Udupi,Coconut,Medium,FAQ,14000,16000,15000,17-May-23
28,Udupi,Udupi,Coconut,Medium,FAQ,14000,16000,15000,03-May-23
29,Udupi,Udupi,Coconut,Medium,FAQ,12000,18000,16000,26-Apr-23
30,Udupi,Udupi,Coconut,Medium,FAQ,12000,18000,16000,19-Apr-23
31,Udupi,Udupi,Coconut,Medium,FAQ,14000,16000,15000,12-Apr-23
32,Udupi,Udupi,Coconut,Medium,FAQ,14000,18000,16000,05-Apr-23
33,Udupi,Udupi,Coconut,Medium,FAQ,14000,18000,17000,29-Mar-23
